digital,measured_frc,_measured_frc
518675,-4.44,-8.88
519410,-3.89,-7.78
520448,-3.33,-6.65
522506,-2.28,-4.56
522457,-2.29,-4.58
520538,-3.35,-6.70
519505,-3.89,-7.77
518413,-4.43,-8.85
518437,-4.44,-8.88
519321,-3.94,-7.88
520472,-3.32,-6.64
522476,-2.26,-4.52
529984,2.27,4.54
532156,3.30,6.59
533403,3.94,7.88
534494,4.42,8.83
534582,4.50,9.00
533524,3.94,7.87
532248,3.40,6.80
530171,2.27,4.54
530091,2.25,4.50
532373,3.41,6.81
533342,3.91,7.81
534441,4.44,8.88
