digital,measured_frc
598597,1.27
599913,2.5
601367,3.7
602571,4.7
608174,9.45
613574,14.12
614436,14.8
615937,16.11
617140,16.99
598926,1.34
600151,2.49
601429,3.6
602945,4.84
608438,9.44
613298,13.79
614634,14.83
616230,16.15
617331,17.09
599037,1.34
600260,2.55
601574,3.66
603007,4.82
608564,9.54
613674,13.96
614812,14.93
616304,16.18
617367,17.04
