digital,measured_frc,_measured_frc
531505,4.61,9.21
529203,2.98,5.96
525861,1.13,2.26
522515,-1.11,-2.22
519586,-2.90,-5.80
516851,-4.52,-9.04
516000,-4.64,-9.28
519299,-2.97,-5.94
522297,-1.16,-2.31
525665,1.16,2.32
528745,2.91,5.81
531515,4.61,9.21
531605,4.64,9.27
528982,2.95,5.90
526186,1.25,2.49
522987,-1.18,-2.36
521143,-2.84,-5.68
518309,-4.62,-9.23
